"Well","Cy5IntDen","Cy5Median","Cy5XArea","AmpFluor","WTFluor","MUTFluor","ThermalCycler","Array","Master","RunDate","Resolution","Triton","Tween","RefMat","CellStain","FAMIntDen","FAMMedian","FAMXArea","Linked","CellCount","HEXIntDen","HEXMedian","HEXXArea"
1,27869,0,6.315,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_21",10,0.05,0,"HET Plasmid","N/A",251428,0,6.418,0,"N/A",18716,0,6.418
2,146606,0,18.427,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_21",10,0.05,0,"HET Plasmid","N/A",1742335,0,18.634,0,"N/A",228794,0,18.634
3,278053,0,32.505,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_21",10,0.05,0,"HET Plasmid","N/A",3095063,0,32.505,0,"N/A",522478,0,32.505
4,525201,503,71.946,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_21",10,0.05,0,"HET Plasmid","N/A",5509059,3864,72.257,0,"N/A",1046658,755,71.325
5,559219,648,76.812,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_21",10,0.05,0,"HET Plasmid","N/A",5866279,5206,77.226,0,"N/A",1139509,1037,77.122
6,396268,113,50.621,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_21",10,0.05,0,"HET Plasmid","N/A",4305949,711,51.035,0,"N/A",846192,17,51.035
7,580543,659,73.913,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_21",10,0.05,0,"HET Plasmid","N/A",6337507,6246,73.913,0,"N/A",1178869,1184,73.602
8,431709,289,53.106,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_21",10,0.05,0,"HET Plasmid","N/A",4861106,1191,53.106,0,"N/A",984782,73,52.899
9,993181,405,60.455,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_21",10,0.05,0,"HET Plasmid","N/A",13811047,2378,61.284,0,"N/A",5053462,730,61.284
10,504218,414,60.248,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_21",10,0.05,0,"HET Plasmid","N/A",5320014,2411,60.248,0,"N/A",1095188,418,60.248
11,313511,0,47.93,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_21",10,0.05,0,"HET Plasmid","N/A",4106415,0,48.447,0,"N/A",510853,0,48.24
12,183727,0,25.88,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_21",10,0.05,0,"HET Plasmid","N/A",1659978,0,25.88,0,"N/A",202945,0,25.88
13,378337,243,60.455,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_21",10,0.05,0,"HET Plasmid","N/A",4525793,1566,61.18,0,"N/A",571680,90,60.973
14,63755,0,13.665,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_21",10,0.05,0,"HET Plasmid","N/A",566967,0,14.079,0,"N/A",71063,0,14.079
15,396381,304,57.143,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_21",10,0.05,0,"HET Plasmid","N/A",5138064,1734,58.385,0,"N/A",740386,85,58.282
16,418722,0,49.379,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_21",10,0.05,0,"HET Plasmid","N/A",4368624,721,50.414,0,"N/A",708529,0,49.586
17,70715,0,12.629,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_21",10,0.05,0,"HET Plasmid","N/A",579921,0,13.354,0,"N/A",99271,0,13.354
