"Well","Cy5IntDen","Cy5Median","Cy5XArea","AmpFluor","WTFluor","MUTFluor","ThermalCycler","Array","Master","RunDate","Resolution","Triton","Tween","RefMat","CellStain","FAMIntDen","FAMMedian","FAMXArea","Linked","CellCount","HEXIntDen","HEXMedian","HEXXArea"
1,87238,0,27.059,"FAM","HEX","Cy5","UW",1,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",710984,0,27.059,0,0,115415,0,27.059
2,0,0,0,"FAM","HEX","Cy5","UW",1,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
3,0,0,0,"FAM","HEX","Cy5","UW",1,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
4,0,0,0,"FAM","HEX","Cy5","UW",1,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
5,36980,0,20,"FAM","HEX","Cy5","UW",1,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",243648,0,20,0,0,42504,0,20
6,65823,0,35.882,"FAM","HEX","Cy5","UW",1,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",381872,0,37.647,0,0,65671,0,37.059
7,73691,0,41.176,"FAM","HEX","Cy5","UW",1,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",490957,0,41.176,0,0,67207,0,41.176
8,95669,368,55.882,"FAM","HEX","Cy5","UW",1,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",565456,789,56.471,0,0,89937,44,56.471
9,74870,0,39.412,"FAM","HEX","Cy5","UW",1,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",485666,0,40,0,0,73132,0,40
10,69771,0,38.824,"FAM","HEX","Cy5","UW",1,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",383835,0,40.588,0,0,73328,0,40.588
11,0,0,0,"FAM","HEX","Cy5","UW",1,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
12,2753,0,3.529,"FAM","HEX","Cy5","UW",1,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",5565,0,3.529,0,0,745,0,3.529
13,84872,230,60,"FAM","HEX","Cy5","UW",1,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",597625,1130,61.176,0,0,85923,71,61.176
14,83664,100,51.176,"FAM","HEX","Cy5","UW",1,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",482194,759,51.765,0,0,77763,15,51.176
15,70201,0,43.529,"FAM","HEX","Cy5","UW",1,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",428221,0,45.294,0,0,73884,0,45.294
16,81684,0,47.647,"FAM","HEX","Cy5","UW",1,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",487578,0,48.235,0,0,75960,0,48.235
17,80069,0,45.882,"FAM","HEX","Cy5","UW",1,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",966060,0,47.059,0,0,303312,0,47.059
18,73633,0,43.529,"FAM","HEX","Cy5","UW",1,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",437365,0,43.529,0,0,76768,0,43.529
19,71261,0,42.941,"FAM","HEX","Cy5","UW",1,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",440562,0,43.529,0,0,72751,0,42.941
20,71003,0,40.588,"FAM","HEX","Cy5","UW",1,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",443473,0,40.588,0,0,73643,0,40.588
21,81773,147,52.353,"FAM","HEX","Cy5","UW",1,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",545680,723,52.941,0,0,87511,27,52.941
22,90938,258,69.412,"FAM","HEX","Cy5","UW",1,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",653142,1289,70,0,0,114102,110,70
23,99635,203,57.647,"FAM","HEX","Cy5","UW",1,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",611649,930,61.176,0,0,105597,74,61.176
24,80178,0,46.471,"FAM","HEX","Cy5","UW",1,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",490913,0,47.059,0,0,87367,0,45.882
25,67869,0,45.294,"FAM","HEX","Cy5","UW",1,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",968540,0,47.059,0,0,310697,0,47.059
26,74020,0,43.529,"FAM","HEX","Cy5","UW",1,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",691671,0,43.529,0,0,191558,0,43.529
27,17837,0,12.353,"FAM","HEX","Cy5","UW",1,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",88587,0,12.941,0,0,21550,0,12.941
28,58124,0,26.471,"FAM","HEX","Cy5","UW",1,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",364900,0,27.647,0,0,73286,0,27.647
29,0,0,0,"FAM","HEX","Cy5","UW",1,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
30,10673,0,18.824,"FAM","HEX","Cy5","UW",1,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",33280,0,18.824,0,0,52208,0,18.824
31,0,0,0,"FAM","HEX","Cy5","UW",1,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
32,0,0,0,"FAM","HEX","Cy5","UW",1,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
33,1352,0,2.353,"FAM","HEX","Cy5","UW",1,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",3646,0,2.353,0,0,485,0,2.353
34,0,0,0,"FAM","HEX","Cy5","UW",1,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
